date,value
9/12/2014 19:29:44,424
9/12/2014 19:28:23,425
9/12/2014 19:27:43,425
9/12/2014 19:01:42,425
9/12/2014 19:01:02,425
9/12/2014 18:48:48,431
9/12/2014 18:48:08,438
9/12/2014 18:19:28,426
9/12/2014 14:27:12,407
9/12/2014 11:53:46,405
9/12/2014 11:09:27,406
9/12/2014 7:56:58,424
9/12/2014 7:55:36,430
9/12/2014 6:22:17,424
9/12/2014 6:21:36,430
9/12/2014 6:20:55,430
9/11/2014 23:23:53,407
9/11/2014 20:16:05,425
9/11/2014 19:41:56,425
9/11/2014 19:41:16,424
9/11/2014 19:40:36,425
9/11/2014 19:24:14,427
9/11/2014 19:23:33,424
9/11/2014 19:22:52,425
9/11/2014 19:22:11,425
9/11/2014 19:20:48,424
9/11/2014 18:57:33,425
9/11/2014 18:56:52,425
9/11/2014 18:56:10,425
9/11/2014 18:55:29,425
9/11/2014 18:54:49,425
9/11/2014 18:52:48,424
9/11/2014 18:50:46,424
9/11/2014 17:58:46,425
9/11/2014 17:35:38,405
9/11/2014 15:12:19,431
9/11/2014 15:08:14,406
9/11/2014 15:07:34,406
9/11/2014 15:06:51,404
9/11/2014 6:57:31,426
9/11/2014 6:56:50,431
9/11/2014 6:38:26,426
9/11/2014 6:27:31,426
9/11/2014 6:26:50,425
9/11/2014 6:26:10,424
9/11/2014 6:25:30,425
9/11/2014 6:24:08,432
9/11/2014 6:23:27,434
9/10/2014 22:58:33,408
9/10/2014 22:57:51,401
9/10/2014 22:57:10,407
9/10/2014 22:19:37,407
9/10/2014 21:30:24,426
9/10/2014 21:29:44,426
9/10/2014 21:29:00,425
9/10/2014 21:28:18,426
9/10/2014 20:44:42,425
9/10/2014 20:44:01,425
9/10/2014 20:43:21,424
9/10/2014 20:25:01,425
9/10/2014 20:24:21,424
9/10/2014 20:19:35,425
9/10/2014 6:18:12,407
9/10/2014 6:17:30,403
9/10/2014 2:59:37,424
9/9/2014 22:50:45,425
9/9/2014 22:43:16,426
9/9/2014 22:42:36,425
9/9/2014 22:41:56,425
9/9/2014 22:41:14,425
9/9/2014 22:40:33,425
9/9/2014 22:39:11,424
9/9/2014 21:40:32,425
9/9/2014 21:39:50,424
9/9/2014 20:56:12,425
9/9/2014 20:55:31,425
9/9/2014 20:54:51,425
9/9/2014 20:54:09,425
9/9/2014 20:53:28,424
9/9/2014 20:46:39,425
9/9/2014 20:45:58,424
9/9/2014 20:42:32,425
9/9/2014 20:41:51,425
9/9/2014 20:01:32,425
9/9/2014 20:00:50,425
9/9/2014 20:00:10,425
9/9/2014 19:59:30,425
9/9/2014 19:58:50,424
9/9/2014 19:56:47,425
9/9/2014 19:56:06,425
9/9/2014 19:54:46,424
9/9/2014 19:52:43,425
9/9/2014 19:49:59,425
9/9/2014 19:35:39,425
9/9/2014 19:33:37,425
9/9/2014 19:31:34,425
9/9/2014 19:08:24,425
9/9/2014 19:07:44,425
9/9/2014 19:06:23,425
9/9/2014 19:03:40,424
9/9/2014 19:02:58,425
9/9/2014 19:02:18,424
9/9/2014 17:37:33,406
9/9/2014 17:36:50,402
9/9/2014 17:36:10,407
9/9/2014 15:47:18,407
9/9/2014 13:25:08,425
9/9/2014 13:23:04,426
9/9/2014 12:59:04,425
9/9/2014 11:00:45,425
9/9/2014 6:03:25,406
9/9/2014 6:02:44,406
9/9/2014 6:02:03,402
9/9/2014 1:51:06,426
9/9/2014 1:50:25,425
9/9/2014 1:46:59,424
9/8/2014 23:19:38,425
9/8/2014 23:18:57,424
9/8/2014 23:18:17,424
9/8/2014 23:17:35,424
9/8/2014 20:47:01,427
9/8/2014 20:45:42,424
9/8/2014 20:45:01,424
9/8/2014 20:44:20,425
9/8/2014 20:43:39,424
9/8/2014 20:42:58,424
9/8/2014 20:20:59,426
9/8/2014 20:20:18,425
9/8/2014 20:19:38,425
9/8/2014 19:48:02,425
9/8/2014 19:47:21,425
9/8/2014 19:44:32,424
9/8/2014 19:43:52,425
9/8/2014 18:01:17,425
9/8/2014 17:29:13,425
9/8/2014 17:28:33,424
9/8/2014 16:26:23,408
9/8/2014 16:01:50,404
9/8/2014 15:53:37,425
9/8/2014 15:48:49,427
9/8/2014 15:48:09,425
9/8/2014 15:41:18,425
9/8/2014 15:39:16,424
9/8/2014 13:32:52,406
9/8/2014 13:01:22,425
9/8/2014 10:25:29,427
9/8/2014 6:36:13,404
9/8/2014 6:35:32,405
9/8/2014 6:33:28,406
9/8/2014 6:30:45,425
9/7/2014 23:49:40,428
9/7/2014 21:58:22,425
9/7/2014 21:57:42,424
9/7/2014 21:56:20,424
9/7/2014 21:54:58,424
9/7/2014 21:54:17,424
9/7/2014 21:31:08,424
9/7/2014 20:37:51,425
9/7/2014 20:37:10,425
9/7/2014 20:35:47,424
9/7/2014 20:33:03,424
9/7/2014 20:26:52,425
9/7/2014 19:28:10,425
9/7/2014 19:27:30,425
9/7/2014 19:26:50,425
9/7/2014 19:26:10,424
9/7/2014 19:01:02,425
9/7/2014 19:00:21,432
9/7/2014 18:49:26,424
9/7/2014 18:48:45,429
9/7/2014 13:17:35,426
9/7/2014 13:12:47,425
9/7/2014 12:23:04,427
9/7/2014 12:21:42,425
9/7/2014 10:01:53,425
9/7/2014 7:23:55,425
9/7/2014 7:23:15,425
9/7/2014 7:22:34,425
9/7/2014 3:00:56,424
9/7/2014 2:02:47,424
9/7/2014 1:47:04,426
9/7/2014 1:46:24,425
9/6/2014 22:57:17,426
9/6/2014 21:00:08,425
9/6/2014 20:18:29,426
9/6/2014 20:17:49,427
9/6/2014 20:17:09,425
9/6/2014 20:10:57,424
9/6/2014 20:10:15,424
9/6/2014 20:09:34,424
9/6/2014 19:35:28,425
9/6/2014 19:34:47,425
9/6/2014 18:56:40,428
9/6/2014 18:55:58,425
9/6/2014 13:59:24,426
9/6/2014 13:58:44,425
9/6/2014 13:23:23,424
9/6/2014 8:02:52,425
9/6/2014 8:02:10,432
9/6/2014 7:23:57,425
9/6/2014 7:06:48,404
9/6/2014 6:53:06,407
9/6/2014 6:45:38,425
9/6/2014 6:44:57,426
9/6/2014 2:05:48,425
9/5/2014 23:19:06,427
9/5/2014 23:18:25,426
9/5/2014 22:52:30,425
9/5/2014 20:55:57,425
9/5/2014 20:12:56,425
9/5/2014 20:12:15,425
9/5/2014 20:09:27,424
9/5/2014 19:51:38,425
9/5/2014 19:50:57,425
9/5/2014 19:50:16,425
9/5/2014 19:47:31,425
9/5/2014 19:33:14,425
9/5/2014 19:32:34,425
9/5/2014 19:21:39,425
9/5/2014 19:20:17,424
9/5/2014 19:18:56,425
9/5/2014 18:45:25,425
9/5/2014 11:09:12,425
9/5/2014 10:06:29,425
9/5/2014 9:04:18,427
9/5/2014 9:03:36,433
9/5/2014 9:02:56,439
9/5/2014 9:02:15,429
9/5/2014 7:55:54,425
9/5/2014 6:45:23,426
9/5/2014 6:01:45,425
9/5/2014 6:00:24,425
9/5/2014 5:57:40,430
9/5/2014 5:56:59,428
9/5/2014 3:01:33,425
9/5/2014 3:00:51,426
9/4/2014 23:53:27,427
9/4/2014 22:15:04,406
9/4/2014 21:56:31,425
9/4/2014 21:55:51,425
9/4/2014 21:54:29,425
9/4/2014 20:15:23,425
9/4/2014 20:14:01,424
9/4/2014 20:06:31,424
9/4/2014 20:05:50,424
9/4/2014 19:52:55,426
9/4/2014 19:52:13,425
9/4/2014 19:51:32,425
9/4/2014 19:50:51,425
9/4/2014 19:50:10,425
9/4/2014 19:49:29,425
9/4/2014 19:48:49,425
9/4/2014 19:48:08,425
9/4/2014 19:47:27,425
9/4/2014 19:46:46,425
9/4/2014 19:29:04,425
9/4/2014 19:28:24,425
9/4/2014 10:29:28,404
9/4/2014 10:28:46,407
